RM,name,address,phone,email,url,description,category,custom_field_1,custom_field_2,custom_field_3,image_url,latitude,longitude,store_id,tier,custom_marker_url,hidden,GeoLocation,ID,NavContactID,NavCustomerID,DealerOrgNo
,Inland,"816 Industrial Road #1, Cranbrook, BC, V1C 4C6",250-426-6205,,http://inland-group.com/en-ca,,,,,,,49.52148056,-115.7610321,9566672,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xbf\xc2H@\x00\x00\x00\xc0\xb4\xf0\\\xc0',67,D500507,,50
,Inland,"3150 Highway 97 North, Quesnel, BC, V2J 5Y9",250-992-7256,,http://inland-group.com/en-ca,,,,,,,53.00893402,-122.5038757,9566671,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0$\x81J@\x00\x00\x00\x80?\xa0^\xc0',68,D500513,,50
,Inland,"2365 Northfield Rd, Nanaimo, BC, V9S 3CS",250-758-5288,,http://inland-group.com/en-ca,,,,,,,49.1890564,-124.0006256,9566667,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x003\x98H@\x00\x00\x00@\n\x00_\xc0',69,D6100129,,50
,Inland,"1051 Middleton Way, Vernon, BC, V1B 2N3",250-545-4424,,http://inland-group.com/en-ca,,,,,,,50.24872589,-119.2524719,9566662,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\xd6\x1fI@\x00\x00\x00\x80(\xd0]\xc0',70,D500515,,50
,Inland,"1690 Fairview Road, Penticton, BC, V2A 6A8",250-492-3939,,http://inland-group.com/en-ca,,,,,,,49.47930145,-119.5953674,9566664,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0Y\xbdH@\x00\x00\x00\x80\x1a\xe6]\xc0',71,D500511,,50
,Inland,"1995 Quinn Street, Prince George, BC, V2N 2X2",250-562-8171,,http://inland-group.com/en-ca,,,,,,,53.90578842,-122.7925415,9566665,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xf0\xf3J@\x00\x00\x00\x00\xb9\xb2^\xc0',72,D500519,,50
,Itec 2000 Equipment Inc,"26 Gardiner Rd, Rosslyn, ON, ON P7K 1P0",888-574-8530,,http://itec2000.com,,,,,,,48.36256027,-89.42153931,9566637,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`h.H@\x00\x00\x00\x80\xfaZV\xc0',73,D400124,,53
,Jersey Rents,"252 Route 9, Bayville, NJ, 8721",732-606-1002,,http://jerseyrents.com,,,,,,,39.92195892,-74.16625977,9566638,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\x02\xf6C@\x00\x00\x00\x00\xa4\x8aR\xc0',74,,,16
,Kelbe Bros. Equipment Co. Inc,"12770 W. Silver Spring Drive, Butler, WI, 53007",262-781-4970,,http://kelbebros.com,,,,,,,43.11774063,-88.06903076,9566639,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \x12\x8fE@\x00\x00\x00\x00k\x04V\xc0',75,D510100,,58
,Kelbe Bros. Equipment Co. Inc,"3101 French Rd, De Pere, WI, 54114",920-343-6496,,http://kelbebros.com,,,,,,,44.38190079,-88.16217804,9566641,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \xe20F@\x00\x00\x00 a\nV\xc0',76,D510103,,58
,Kelbe Bros. Equipment Co. Inc,"4621 Dutch Mill Road, Madison, WI, 53716",608-221-8300,,http://kelbebros.com,,,,,,,43.04844666,-89.30204773,9566640,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x803\x86E@\x00\x00\x00\xc0TSV\xc0',77,D510101,,58
,"Kirby-Smith Machinery, Inc.","8320 Ruby Avenue, Kansas City, KS, 66111",913-850-6300,,http://www.kirby-smith.com,,,,,,,39.06804276,-94.77284241,9566642,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\xb5\x88C@\x00\x00\x00@v\xb1W\xc0',78,D400192,,60
Randy Phillips,LBCE Mid-Atlantic,"916-B Cavalier Blvd, Chesapeake, VA, 23323",757-485-4485,,http://lbxco.link-beltmidatlantic.com,,,,,,,36.77399445,-76.36178589,9566643,,,,"b""\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\x12cB@\x00\x00\x00\x80'\x17S\xc0""",79,D546301,,62
Randy Phillips,LBCE Mid-Atlantic,"5263 Agro Drive Suite 1, Frederick, MD, 21703",301-732-7800,,http://link-beltmidatlantic.com,,,,,,,39.34156036,-77.48851013,9566645,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\xb8\xabC@\x00\x00\x00\xc0C_S\xc0',80,D546303,,62
Randy Phillips,LBCE Mid-Atlantic,"10020 Lickinghole Road, Ashland, VA, 23005",804-798-2290,,http://lbxco.link-beltmidatlantic.com,,,,,,,37.70305252,-77.43998718,9566644,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\xfd\xd9B@\x00\x00\x00\xc0(\\S\xc0',81,D546300,,62
,Marshall Machinery,"348 Bethel School Rd, Honesdale, PA, 18431",570-729-7117,,http://marshall-machinery.com,,,,,,,41.57619095,-75.19001007,9566648,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\xc0\xc9D@\x00\x00\x00 )\xccR\xc0',82,D400120,,69
,May Heavy Equipment LLC,"5423 US Highway 70 Business, Clayton, NC, 27520",919-773-1424,,http://www.mayequip.com/,,,,,,,35.83081436,-78.63105011,9566647,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 X\xeaA@\x00\x00\x00 c\xa8S\xc0',83,,,70
,McDowell B Equipment Ltd.,"2018 Kingsway, Sudbury, ON, P3B 4J8",705-566-8190,,http://bmcdowell.com,,,,,,,46.50065231,-80.92753601,9566650,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`\x15@G@\x00\x00\x00\xc0\\;T\xc0',84,D400029,,72
,Micanic Inc.,"86 rue de Rotterdam, Saint-Augustin-de-Desmaures, QC, G3A 1S9",800-709-2241,,http://mic-a-nic.com,,,,,,,46.75485611,-71.43979645,9566651,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \x9f`G@\x00\x00\x00\xa0%\xdcQ\xc0',85,D400008,,73
Landon Boyer,Mid Country Machinery,"9206 Brewerton Road, Brewerton, NY, 13029",315-288-6473,,http://www.midcountry.com,,,,,,,43.21518326,-76.13330841,9566652,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \x8b\x9bE@\x00\x00\x00 \x88\x08S\xc0',86,D400121,,74
,Mid South Machinery Inc.,"3145 Cliff Gookin Blvd., Tupelo, MS, 38801",662-690-6553,,http://www.gomidsouth.com,,,,,,,34.22391129,-88.75098419,9566654,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \xa9\x1cA@\x00\x00\x00 \x100V\xc0',87,D400074,,75
,Mid South Machinery Inc.,"3233 Highway 80 West, Jackson, MS, 39204",601-948-6740,,http://www.gomidsouth.com,,,,,,,32.29472351,-90.23623657,9566655,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80\xb9%@@\x00\x00\x00\x80\x1e\x8fV\xc0',88,D400072,,75
,Mid South Machinery Inc.,"14336 Seaway Rd, Gulfport, MS, 39503",228-867-1555,,http://www.gomidsouth.com,,,,,,,30.43519211,-89.08006287,9566653,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0ho>@\x00\x00\x00\xc0\x1fEV\xc0',89,D512101,,75
,"New Millennium Rentals, Inc.","4 Industrial Drive, Florida, NY, 10921",845-651-2500,,http://newmillenniumrentals.com,,,,,,,41.34585571,-74.35787964,9566656,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00E\xacD@\x00\x00\x00\x80\xe7\x96R\xc0',90,D563500,,81
,Norris Sales Company,"1010 Conshohocken Road, Conshohocken, PA, 19428",610-279-5777,,http://www.norrissales.com,,,,,,,40.09309387,-75.31798553,9566657,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80\xea\x0bD@\x00\x00\x00\xe0Y\xd4R\xc0',91,D400122,,82
,Nueces Power Equipment,"7667 N Sam Houston Pky E, Humble, TX, 77396",713-247-0066,,http://nuecespower.com,,,,,,,29.94007111,-95.27168274,9566658,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80\xa8\xf0=@\x00\x00\x00@c\xd1W\xc0',92,D400189,,83
,OK Territory - Oklahoma City,"3717 NW 3rd, Oklahoma City, OK, 73107",886-339-6827,,http://oklahomaterritoryequipment.com/index.cfm,,,,,,,35.46914673,-97.58575439,9566660,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00\r\xbcA@\x00\x00\x00\x00}eX\xc0',93,D400036,,84
,OK Territory - Tulsa,"2520 East King Street, Tulsa, OK, 74110",866-334-6827,,http://oklahomaterritoryequipment.com/index.cfm,,,,,,,36.16794205,-95.95488739,9566661,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \x7f\x15B@\x00\x00\x00\xe0\x1c\xfdW\xc0',94,D400037,,84
,OSC Equipment Services Inc.,"1001 East Delevan Ave, Buffalo, NY, 14215",716-856-3333,,http://oscequipment.com,,,,,,,42.92133331,-78.81967926,9566659,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\xeeuE@\x00\x00\x00\xa0u\xb4S\xc0',95,D400110,,87
,Paul Equipment & Sons,"55, Rue Drapeau St., Balmoral, NB, E8E 2W7",888-450-8223,,http://paulequipment.ca,,,,,,,47.98525238,-66.40784454,9566677,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\x1c\xfeG@\x00\x00\x00 \x1a\x9aP\xc0',96,D400190,,91
,Quest Const - Baton Rouge,"38297 Hwy. 30, Gonzales, LA, 70737",225-450-6425,,http://lbxco.questequip.com/home_lbxco.asp,,,,,,,30.20994759,-90.9606781,9566675,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \xbf5>@\x00\x00\x00\xc0{\xbdV\xc0',97,D511803,,93
,Quest Const - New Orleans,"10561 Airline Hwy, St. Rose, LA, 70087",504-467-7663,,http://lbxco.questequip.com/home_lbxco.asp,,,,,,,29.97130966,-90.30640411,9566676,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\xa7\xf8=@\x00\x00\x00 \x9c\x93V\xc0',98,D511802,,93
Zack Shimon,Rasmussen Equip - Salt Lake,"3333 West 2100 South, Salt Lake City, UT, 84119",801-972-5588,,http://raseq.com,,,,,,,40.72506714,-111.9708176,9566679,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00\xcf\\D@\x00\x00\x00\xe0!\xfe[\xc0',99,D512000,,95
,R & B Power Inc.,"345 Street A Luchetti Ind Pk, BayamÃ³n, PR, 959",787-785-9777,,http://rbpower.com,,,,,,,18.41508293,-66.13980103,9566678,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0Bj2@\x00\x00\x00\x80\xf2\x88P\xc0',100,D400020,,94
Landon Boyer,Reco Equipment Inc.,"2841 Brecksville Road, Richfield, OH, 44286",330-659-0800,,http://lbxco.recoequip.com,,,,,,,41.2130394,-81.63715363,9566686,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0D\x9bD@\x00\x00\x00 \xc7hT\xc0',101,D517903,,96
Landon Boyer,Reco Equipment Inc.,"1040 Reed Road, Monroe, OH, 45050",513-539-5255,,http://lbxco.recoequip.com,,,,,,,39.4552269,-84.33358002,9566683,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0D\xbaC@\x00\x00\x00`Y\x15U\xc0',102,D517905,,96
Landon Boyer,Reco Equipment Inc.,"20620 Rt. 19 N, Cranberry Township, PA, 16066",724-779-4646,,http://lbxco.recoequip.com,,,,,,,40.70557785,-80.10331726,9566681,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`PZD@\x00\x00\x00\xc0\x9c\x06T\xc0',103,D517901,,96
Landon Boyer,Reco Equipment Inc.,"10461 Grand River Rd, Brighton, MI, 48116",810-225-9016,,http://lbxco.recoequip.com,,,,,,,42.51945877,-83.74688721,9566682,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0}BE@\x00\x00\x00\x00\xcd\xefT\xc0',104,D517907,,96
Landon Boyer,Reco Equipment Inc.,"4250 Perimeter Dr, Columbus, OH, 43228",614-276-0001,,http://lbxco.recoequip.com,,,,,,,39.97330475,-83.11710358,9566680,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\x95\xfcC@\x00\x00\x00\xa0~\xc7T\xc0',105,D517902,,96
Landon Boyer,Reco Equipment Inc.,"41245 Reco Road, Belmont, OH, 43718",800-686-7326,,http://lbxco.recoequip.com,,,,,,,40.05744171,-81.05495453,9566684,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@Z\x07D@\x00\x00\x00`\x84CT\xc0',106,D517900,,96
Landon Boyer,Reco Equipment Inc.,"12425 Williams Road, Perrysburg, OH, 43551",419-874-6001,,http://lbxco.recoequip.com,,,,,,,41.52880478,-83.63414001,9566685,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xaf\xc3D@\x00\x00\x00\xc0\x95\xe8T\xc0',107,D517904,,96
Landon Boyer,Reco Equipment Inc.,"1315 Terminal Rd, Indianapolis, IN, 46217",317-781-8100,,http://lbxco.recoequip.com,,,,,,,39.70131683,-86.18228149,9566687,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\xc4\xd9C@\x00\x00\x00\x80\xaa\x8bU\xc0',108,D517906,,96
Dave Seater,Rexco Equip - Cedar Rapids,"1925 Blairs Ferry Road NE, Cedar Rapids, IA, 52402",319-393-2820,,http://rexcoequip.com/default.htm,,,,,,,42.03458405,-91.66358185,9566688,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@m\x04E@\x00\x00\x00 x\xeaV\xc0',109,D512400,,99
Dave Seater,Rexco Equip - Davenport,"13500  118th Avenue, Davenport, IA, 52804",563-381-1200,,http://rexcoequip.com/default.htm,,,,,,,41.50630569,-90.67370605,9566689,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\xce\xc0D@\x00\x00\x00\x00\x1e\xabV\xc0',110,D512402,,99
Dave Seater,Rexco Equip - Des Moines,"5900 S.W. 56th Street, Des Moines, IA, 50321",515-287-4910,,http://rexcoequip.com/default.htm,,,,,,,41.52977753,-93.69425964,9566690,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\xcf\xc3D@\x00\x00\x00\xc0nlW\xc0',111,D512401,,99
Zack Shimon,"Riverbend Equipment, Inc.","7748 North Lavaun Drive, Louviers, CO, 80131",303-470-3023,,http://riverbendeq.com,,,,,,,39.47475815,-104.9916992,9566691,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xc4\xbcC@\x00\x00\x00\x00x?Z\xc0',112,D513200,,100
Zack Shimon,"Riverbend Machinery, Inc.","2301 Grand Park Drive, Grand Junction, CO, 81505-8400",970-245-1250,,http://rbmachinery.com,,,,,,,39.1077919,-108.6258698,9566692,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \xcc\x8dC@\x00\x00\x00@\x0e([\xc0',113,D513100,,100
,RMT Equipment,"9310 West Koch Circle, Hammett, ID, 83627",208-366-2088,,http://rmtequipment.com,,,,,,,42.94929504,-115.4658966,9566694,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80\x82yE@\x00\x00\x00@\xd1\xdd\\\xc0',114,D400129,,101
,RMT Equipment,"1898 Century Way, Boise, ID, 83709",208-376-3333,,http://rmtequipment.com,,,,,,,43.58694458,-116.2691422,9566693,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00!\xcbE@\x00\x00\x00\xa09\x11]\xc0',115,D400128,,101
,Shafer Equipment Company Inc.,"955 Greg Street, Sparks, NV, 89431",775-331-7772,,http://lbxco.shaferequipmentco.com/home_lbxco.asp,,,,,,,39.52131271,-119.7548904,9566696,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`\xba\xc2C@\x00\x00\x00 P\xf0]\xc0',116,D519900,,103
,Stratton Equip Sales & Service,"Box 35, Stratton, ON, P0W 1N0",807-483-7777,,http://strattonequipment.com,,,,,,,48.68411636,-94.16339111,9566697,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \x91WH@\x00\x00\x00\x00u\x8aW\xc0',117,D501900,,107
,Top Lift Enterprises Inc.,"6895, Boulevard Bourque, Sherbrooke, QC, J1N 3K4",855-866-5438,,http://toplift.com,,,,,,,45.34777451,-72.03148651,9566700,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\x83\xacF@\x00\x00\x00\xe0\x03\x02R\xc0',118,D400009,,111
,Top Lift Enterprises Inc.,"42 Pinelands Ave, Stoney Creek, ON, L8E 5X9",905-662-4137,,http://toplift.com,,,,,,,43.2393837,-79.73365021,9566698,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \xa4\x9eE@\x00\x00\x00 \xf4\xeeS\xc0',119,D400011,,111
,Top Lift Enterprises Inc.,"12343 Highway 50, Bolton, ON, L7E 1M3",905-857-5200,,http://toplift.com,,,,,,,43.8555336,-79.70399475,9566699,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \x82\xedE@\x00\x00\x00@\x0e\xedS\xc0',120,D400014,,111
,Top Lift Enterprises Inc.,"6557, Cote de Liesse, St-Laurent, QC, H4T 1E5",514-335-2953,,http://toplift.com,,,,,,,45.4855957,-73.69316864,9566701,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00(\xbeF@\x00\x00\x00\xe0\\lR\xc0',121,D400010,,111
Chad Kline,Triad Machinery - Bend,"4440 SW Airport Rd, Prineville, OR, 97754",888-662-2940,,http://triadmachinery.com,,,,,,,44.28015137,-120.8998642,9566702,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00\xdc#F@\x00\x00\x00`\x979^\xc0',122,D514304,,114
Chad Kline,Triad Machinery - Eugene,"91251 Coburg Ind Way, Coburg, OR, 97408-9469",541-342-7700,,http://triadmachinery.com,,,,,,,44.14319229,-123.0551682,9566703,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 T\x12F@\x00\x00\x00\xe0\x87\xc3^\xc0',123,D514301,,114
Chad Kline,Triad Machinery - Portland,"18200 NE Riverside Parkway, Portland, OR, 97230",800-221-8512,,http://triadmachinery.com,,,,,,,45.55447769,-122.4763489,9566704,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \xf9\xc6F@\x00\x00\x00\x80|\x9e^\xc0',124,D514300,,114
Chad Kline,Triad Machinery - Seattle,"1601 Bay St, Tacoma, WA, 98421",800-622-8876,,http://triadmachinery.com,,,,,,,47.24166489,-122.4099655,9566705,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xee\x9eG@\x00\x00\x00\xe0<\x9a^\xc0',125,D514302,,114
Chad Kline,Triad Machinery - Spokane,"910 N Thierman Road, Spokane, WA, 99212",509-534-1900,,http://triadmachinery.com,,,,,,,47.66591644,-117.3141327,9566706,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0<\xd5G@\x00\x00\x00\xc0\x1aT]\xc0',126,D514303,,114
,Warner Tractor & Equipment,"9848 Route 6, Troy, PA, 16947",570-297-2141,,http://warnertractor.com,,,,,,,41.76881409,-76.73144531,9566707,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80h\xe2D@\x00\x00\x00\x00\xd0.S\xc0',127,D400092,,120
,West Virginia Tractor Company,"214 Virginia Street West, Charleston, WV, 25302",800-640-8245,,http://wvtractor.com,,,,,,,38.359375,-81.64642334,9566708,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00\x00.C@\x00\x00\x00\x00_iT\xc0',128,D400061,,122
,Wilson Equipment - Corbin,"828 W. Cumberland Gap Pkwy, Corbin, KY, 40701",606-528-0700,,http://wilsonequipment.com,,,,,,,36.97600174,-84.10889435,9566709,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\xed|B@\x00\x00\x00 \xf8\x06U\xc0',129,D410018,,126
,Wilson Equipment - Lexington,"2180 Old Frankfort Pike, Lexington, KY, 40510",859-254-6443,,http://wilsonequipment.com,,,,,,,38.06400299,-84.55047607,9566710,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@1\x08C@\x00\x00\x00\x00;#U\xc0',130,D400018,,126
,Wilson Equipment - Prestonburg,"2124 Watergap Road, Prestonsburg, KY, 41653",606-874-8036,,http://wilsonequipment.com,,,,,,,37.68291092,-82.72814941,9566711,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0i\xd7B@\x00\x00\x00\x00\x9a\xaeT\xc0',131,D420018,,126
Chad Kline,Woods CRW (Parts Only),"7096 Carlisle Pike, Carlisle, PA, 17015",717-795-0700,,http://lbxco.link-beltmidatlantic.com,,,,,,,40.2338028,-77.10694122,9566646,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\xed\x1dD@\x00\x00\x00 \xd8FS\xc0',132,,,127
,Woodward Tractor & Rentals,"622 Blackburn Ave, Cody, WY, 82414",307-587-6812,,http://woodwardtractor.com,,,,,,,44.53027725,-109.0416946,9566712,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \xe0CF@\x00\x00\x00 \xabB[\xc0',133,D400022,,128
Dave Seater,"Ferri Equipment, Inc.","2516 Cranberry Hwy, Wareham, MA 02571",508-295-7700,,https://ferriequipment.com,,,,,,,41.77027564,-70.73281403,,,,,,,,,
